step,event,curve_samples,mapping_time_days,mapping_time_error_days,rotation_angle_rad,mean_jacobi,energy_residual,curve_jacobi_span,max_map_residual,phase_residual,amplitude,newton_iterations,jacobian_condition,status
0,free_time_anchor,57,14.721772908086308,-0.027554694188873796,1.444362398192854,2.922499999999866,-1.3367085216486885e-13,9.82622871958938e-11,1.8265114359010925e-11,4.7704895589362195e-18,0.025180999054906072,0.0,nan,pass
1,time_homotopy,57,14.726772908086309,-0.022554694188873015,1.441993663431321,2.922499999999999,3.9968028886505635e-15,6.217248937900877e-15,9.534948050929574e-14,-6.5052130349130266e-18,0.02274352712905327,8.0,nan,pass
2,time_homotopy,57,14.733022908086308,-0.01630469418887337,1.4389798548834698,2.922499999999984,1.9539925233402755e-14,8.43769498715119e-15,6.486780525167437e-13,0.0,0.019290495073419418,5.0,nan,pass
3,time_homotopy,57,14.740835408086308,-0.00849219418887337,1.435191492294366,2.922499999999999,3.1086244689504383e-15,4.884981308350689e-15,5.750652085871344e-14,8.673617379884035e-19,0.013783495920738702,7.0,nan,pass
4,time_homotopy,57,14.74571822058631,-0.0036093816888715935,1.432810243516961,2.9224999999929664,7.886580277727262e-12,1.6817658377021871e-12,2.241030215149453e-10,-4.336808689942018e-19,0.00870183195157424,6.0,nan,pass
5,time_homotopy,57,14.74876997839881,-0.0005576238763715935,1.4313161225676514,2.9224999999993453,7.558398351648066e-13,2.0383694732117874e-13,2.0737572001292048e-11,4.336808689942018e-18,0.002032846333816472,8.0,nan,pass
6,time_homotopy,57,14.748889187688361,-0.00043841458682081225,1.4312576631391107,2.9224999999999794,2.4868995751603507e-14,7.993605777301127e-15,6.823643847747754e-13,4.336808689942018e-19,0.0011547129493694101,4.0,nan,pass
7,time_homotopy,57,14.748926440591344,-0.00040116168383796946,1.4312393928995661,2.922499999999995,7.105427357601002e-15,4.440892098500626e-15,2.0216406763409258e-13,-1.0842021724855044e-19,0.0006772031611910587,4.0,nan,pass
8,time_homotopy,57,14.748938082123528,-0.0003895201516534996,1.4312336788344566,2.9224999999865364,1.5576429035490946e-11,4.227285188562746e-12,4.2491453330117117e-10,2.710505431213761e-20,0.0004303986834680176,3.0,nan,pass
9,spectral_lift,69,14.748938082123528,-0.0003895201516534996,1.4312336788344566,2.922499999986536,1.5578205392330347e-11,4.225064742513496e-12,4.2488264588507114e-10,0.0,0.0004303986834680177,0.0,nan,pass
10,spectral_lift,81,14.748938082123528,-0.0003895201516534996,1.4312336788344566,2.9224999999865364,1.5571988143392446e-11,4.217959315155895e-12,4.2506419459403827e-10,0.0,0.0004303986834680176,0.0,nan,pass
11,time_homotopy,81,14.748957613373529,-0.0003699889016530733,1.3927170795527215,2.9224998542951246,1.457121059367239e-07,1.4477308241112041e-11,2.215236146529997e-06,3.6683803835303036e-11,1.5655258639092047e-07,11.0,1339315697.8463855,fail
